9608224,9607394
9903230,9507262
107112,9712512
9607223,9506451
9711467,204095
9708386,9612300
110213,9801279
7003,9712222
1182,9810526
9905351,9307247
5137,9408376
101147,9708481
9603312,9402298
5046,9903462
9907243,9508378
112231,9707345
9806319,9302210
7266,9610540
9701224,9308210
111086,9605221
9809244,9211320
9605356,9504374
9805289,9607383
3025,9902420
9905549,9808265
9905470,9404354
108182,9901350
9912455,9806292
9906347,9302210
9904297,12260
202238,9402278
9708254,9403240
202185,9308277
9706307,10195
9806462,9704228
9712311,9212271
11349,202145
108245,102254
108159,9408228
108002,9704238
112206,8208
9908390,9708456
10273,9806404
9909457,9809466
9705416,9704221
104285,9901281
9310314,9401349
202089,9604388
112270,9403290
9712323,11014
9704290,9610213
9908469,9811337
7230,9407251
9712463,9604443
9904252,9903479
9803205,9607488
9801366,9507319
9607430,9604351
9909203,9701229
9910201,10338
111090,9903358
10212,10075
9904488,9305282
9908481,9211239
9905576,9305276
9811473,110067
9910257,9903363
105265,6090
107183,9807380
9606435,4077
9901315,9809483
9906370,9602242
9906284,9902292
9906481,9906470
110272,9208230
9910397,9702245
201308,9709388
9803459,9406203
9908473,9711291
1317,9306314
102044,9705417
9907222,9812301
9712235,9601336
9901369,9710268
9510246,9508253
103216,9903288
6034,9910225
103249,9403290
5129,9808378
9511275,9509237
9610249,9701218
5105,9303215
12296,9503356
9906378,9410310
9810270,9805241
9309272,9904268
4215,4208
102288,1101
9903479,9706441
9505430,9503445
9701244,9607487
9706497,9706526
108110,11055
9706390,9703417
6140,9907327
9604440,9203203
9508204,9707492
9501397,10113
9911509,9911434
202122,9505410
9608470,9306212
9811285,9804404
9812360,9910492
9410333,9307347
9606276,9308262
2209,9812445
9703364,9501360
9511207,9144
9224,9703445
9908217,9812355
201217,9406359
9809504,9701301
9911366,9809315
9910379,9702208
9811460,3150
9512229,9308374
9907554,9602359
109123,9404357
106213,9806287
9809513,9802282
9312221,9210278
9507247,9712483
203080,9503474
9712302,9710357
9802421,9502270
9808355,9905312
2138,2064
107220,9610449
9908371,9903363
9804210,9304240
110341,9308330
9801271,9311340
9906480,9812397
9906374,9902251
9903487,9412385
9801269,9208241
4053,9712205
9606222,9205242
7304,9806289
9905226,9706379
9704221,9608318
9710410,9911369
112301,9311318
6231,9803466
9604243,9404209
9801237,9409240
9908373,9708369
109197,9511446
111427,9901222
1082,107203
103308,2224
201307,9508409
9807448,9405237
9911384,9906219
1040,9908388
108246,9507294
9701328,12023
101221,9086
9802276,9506477
112281,9901201
9910327,9505244
111280,9508314
107235,9608245
9904247,9712234
9701392,9402253
101267,9611423
9509231,9404248
5122,9302225
9908476,9207257
9809242,102292
7322,9507282
9409230,9408395
107167,107027
9911369,9909391
9610280,9609339
7234,4053
9911276,9608413
3260,9603265
9707312,9601280
9407305,110022
9906422,5272
9807417,9406315
201133,9307317
201268,201209
202052,106315
108185,106245
5235,9906513
9708459,9601249
9508380,9308349
9811402,9704331
9103,9412293
3172,9508291
111203,9904281
9704259,9509208
9503209,9405304
9503314,9308365
9509350,9504350
9802302,9310229
8094,9402223
