6	4	2
6	2	5
4	7	3
13	8	10
21	5	2
21	8	10
21	9	8
21	7	3
17	5	3
10	8	21
10	1	8
10	10	25
10	7	3
5	3	1
5	1	7
6	2	4
2	5	4
13	2	17
4	1	31
34	1	1
34	1	13
13	1	34
6	5	7
7	3	6
1	9	17
1	2	31
35	2	6
1	3	13
35	1	1
17	9	1
8	3	1
7	2	29
44	1	37
39	3	7
39	1	44
44	1	39
23	1	17
46	1	36
47	2	1
45	2	39
45	2	54
54	1	1
41	2	36
55	1	7
4	5	57
4	2	61
61	8	20
61	2	2
21	5	7
69	2	39
1	1	71
7	2	28
28	1	7
4	4	72
1	1	74
68	1	64
7	5	19
23	1	32
61	4	77
1	1	78
60	1	41
78	1	60
57	2	4
23	1	69
69	1	23
64	1	68
79	1	35
4	1	41
64	1	80
81	1	17
62	1	69
86	1	41
69	2	81
89	1	41
7	2	89
89	2	7
41	1	70
94	1	64
70	1	95
95	3	70
70	1	35
96	3	70
15	2	97
69	4	99
99	1	69
1	1	101
100	1	101
101	1	103
39	1	4
4	1	39
72	4	4
106	1	96
81	2	107
107	3	81
60	1	108
7	1	109
109	1	7
41	1	110
41	1	68
68	1	41
7	1	111
64	2	112
112	2	115
112	4	60
114	1	39
6	1	32
1	1	119
119	10	1
100	4	7
7	1	47
122	1	7
108	1	104
104	1	108
115	3	77
119	10	127
119	1	25
1	6	23
116	2	7
7	2	116
54	2	13
13	2	54
77	1	15
77	3	1
77	3	115
77	3	61
129	1	54
132	2	127
133	1	7
105	1	41
64	1	41
57	1	110
113	2	125
54	6	7
7	5	54
113	2	135
135	2	113
36	2	78
96	4	15
110	1	57
134	1	132
132	1	100
41	1	137
15	3	96
137	1	41
7	1	137
138	1	1
138	1	132
100	1	111
111	1	100
100	1	64
64	1	100
140	1	41
60	2	100
7	2	141
141	5	134
134	5	141
141	3	7
132	5	21
2	8	3
142	1	132
110	1	1
142	1	110
142	1	2
143	1	110
144	1	132
1	1	145
41	1	148
148	1	41
23	4	113
78	1	149
150	1	149
132	1	75
2	1	110
110	1	2
132	1	152
104	2	153
81	3	93
110	1	155
132	4	156
132	3	113
155	1	110
157	1	41
149	1	132
158	2	113
41	1	132
132	1	41
114	2	1
1	2	114
160	1	60
114	1	146
146	1	78
132	3	78
104	1	132
132	2	157
7	7	1
132	1	162
41	1	162
162	1	41
2	1	149
149	1	2
143	1	81
143	1	80
80	1	143
152	1	166
2	1	166
41	1	167
41	1	168
168	1	41
169	2	132
64	1	166
166	1	64
166	1	113
60	2	104
41	1	174
175	2	7
45	3	176
7	1	166
161	1	177
149	1	129
129	1	149
75	2	1
75	1	179
179	1	75
62	2	75
143	1	173
149	1	173
173	1	143
144	1	143
156	1	2
181	1	135
132	1	159
159	1	132
135	1	143
182	1	148
181	1	144
181	2	183
143	1	183
184	2	7
80	1	7
147	1	179
179	1	147
7	1	185
185	1	7
176	1	45
183	1	186
187	1	135
33	2	7
7	2	33
78	3	144
7	1	188
188	1	7
191	1	104
104	1	113
104	1	171
171	1	104
192	1	143
2	8	1
7	2	35
60	1	194
194	1	178
194	1	60
7	1	195
62	1	196
60	4	191
156	1	7
60	1	198
60	1	199
7	2	200
200	2	7
198	1	132
35	2	7
100	1	202
202	1	100
203	1	142
7	1	204
142	1	60
206	1	201
207	2	7
