3878,1,1726
421,1,2045
202,1,3897
308,1,2943
4172,-10,4279
1096,1,1097
2642,1,3928
3598,1,3988
1,2,171
3990,6,180
3018,3,2378
2755,3,3429
1028,1,5013
537,1,4780
1953,-10,304
4378,2,4281
2642,1,3624
2915,1,1953
2934,-10,5544
4061,1,3656
1018,1,5251
2942,1,1413
1281,1,2062
3105,10,5764
2906,5,2780
35,1,4771
537,3,7
481,2,5612
5882,3,230
1731,-10,621
1921,1,2063
1744,2,5404
1899,3,1990
3719,10,523
3271,1,3239
1744,1,905
1,3,134
4197,2,2642
994,1,2388
1922,4,2848
198,1,224
3451,-10,3490
135,-1,2848
1731,4,729
3935,-10,4458
934,7,832
2897,1,1810
35,1,4767
1555,2,3792
4459,1,178
2725,3,2840
13,1,2392
3527,1,4753
1675,1,2386
2763,1,486
1802,1,3699
62,1,576
3771,1,1991
2725,7,2728
2123,1,1832
2388,-10,1838
3807,1,3653
1201,3,2160
474,1,3086
1334,1,5155
4320,1,35
261,3,5788
4339,3,2891
2033,1,4331
2795,2,2214
3172,1,26
2296,1,2733
2028,1,1069
1525,2,1386
4370,3,3719
3795,2,1810
2045,1,905
2430,1,3897
4152,1,3417
545,3,5157
13,4,1555
700,1,2415
273,1,3027
1788,1,4709
13,1,468
5242,1,5025
666,1,4121
35,-2,847
1363,1,2214
4163,1,5345
1363,3,1528
3798,1,1693
777,10,1014
1810,1,4172
3669,1,2592
5714,1,4308
5481,1,4197
4136,1,3916
3103,-10,2028
3916,-10,1402
1615,1,1544
1953,1,216
2859,1,2103
1885,-10,2503
104,1,1615
384,2,171
3598,1,2006
2045,1,2962
1885,6,2144
921,1,592
1396,-7,4123
1810,1,770
3304,1,1185
3707,1,545
5413,2,481
13,6,353
2028,3,3257
1502,1,4105
2311,3,5013
3219,3,2028
4985,1,4253
1396,2,2658
2642,1,1810
93,1,1565
628,1,1953
5612,1,5714
4181,1,4125
1018,2,4169
35,1,3453
2337,1,215
2810,1,2315
3099,1,1185
3790,-10,4680
1557,1,2404
1020,4,760
1899,2,2644
3429,1,4163
4038,-10,4084
