6	4	3283
36	2	5
13	8	2072
7	1	545
13	5	20
2625	8	10
21	9	1035
690	7	3
2658	5	3
17	1	5516
10	10	3047
10	7	1765
4	1	5142
5363	1	4
5	3	1612
1053	1	7
1769	4	5
41	2	4
35	5	6
1701	5	4
905	1	28
905	2	13
5228	2	20
31	2	5139
13	8	2835
1	1	4613
34	1	361
5071	1	34
5947	5	7
35	3	6
1810	9	17
36	1	3632
1	2	2378
37	1	4667
687	1	37
39	1	35
135	3	7
5574	1	39
1615	1	17
46	1	2642
13	1	5602
7	1	2388
142	1	51
51	1	520
215	1	52
45	2	4678
45	2	1639
446	1	54
54	1	1997
36	2	3037
36	2	2642
21	2	257
4031	4	53
5541	1	7
29	2	1764
1018	5	57
39	2	2272
2178	2	61
1584	1	65
4645	2	35
66	2	664
3013	4	20
1	1	3699
71	8	3458
2388	1	7
3789	1	75
76	1	5472
1953	1	76
1713	5	19
32	1	2125
202	1	32
1670	1	78
2934	1	1
1352	1	41
41	1	2642
2397	1	23
35	1	230
3023	1	35
2322	1	41
3790	2	1
64	1	35
2642	1	69
41	1	1
35	1	104
86	1	4197
4	1	3653
41	1	1873
60	1	1562
198	1	60
2691	2	7
4197	1	94
1953	1	64
1585	1	95
95	3	2013
1348	1	41
39	3	72
4107	1	96
3366	1	81
4455	1	70
81	1	1611
54	2	114
5028	1	101
39	1	2625
4	1	906
41	1	2125
2877	4	4
106	1	4487
2943	2	107
60	1	1
4893	2	107
3510	1	109
2176	1	7
41	1	4867
1899	1	68
1281	1	7
112	2	4840
1885	4	112
3640	1	39
2141	2	114
2397	1	32
2610	1	119
5316	3	1
4779	4	7
1565	2	100
304	1	23
108	1	144
2929	10	127
1731	1	25
76	2	903
54	1	1840
116	2	5992
361	2	13
13	2	1018
77	1	3229
77	3	2864
77	1	3828
77	1	134
5612	3	61
481	2	54
2894	2	127
1757	1	133
5403	1	7
41	1	920
64	1	4291
113	2	1028
2244	6	7
1832	2	23
135	2	4795
36	2	1352
4635	2	132
132	2	905
2028	4	15
110	1	1899
1317	1	28
2194	1	1
3650	1	132
132	1	3579
1899	1	132
4231	1	137
138	1	1771
111	1	478
140	1	1353
60	2	2733
7	2	3445
4291	5	141
1998	3	7
2045	1	139
132	1	5848
686	1	132
110	1	2049
238	1	134
132	1	158
2194	1	1
929	1	2
41	1	1916
148	1	5539
23	4	4031
2642	1	149
4407	1	110
104	2	4172
132	4	1921
2255	4	132
1759	3	132
2266	1	110
41	1	4291
2856	1	41
149	1	3945
5197	1	158
158	2	3206
56	3	1
3916	3	56
153	2	4205
7	1	41
2430	1	149
149	1	655
114	1	202
1832	1	78
114	1	4733
7	3	2103
21	1	5097
157	2	1698
1810	9	7
7	7	3717
270	1	162
240	1	162
387	1	2
1815	1	81
165	1	1396
152	1	1819
166	1	3113
166	1	3897
2658	1	167
169	2	2600
2962	1	64
166	1	5036
113	2	1918
3590	1	113
13	1	60
156	2	64
175	2	3880
2125	1	144
7	1	3897
535	1	177
177	1	2835
149	1	4172
1714	1	178
178	1	2628
546	1	173
4291	1	173
149	3	3735
508	1	143
5251	2	148
732	1	156
156	1	4291
159	1	3401
143	1	837
4495	1	182
3735	1	181
181	1	2359
1416	1	143
64	1	2028
184	2	546
2108	2	184
185	1	353
183	1	4035
4459	3	144
190	1	5139
104	2	5956
2125	1	113
1810	1	104
6	3	5258
4559	2	159
728	8	1
3735	2	35
1	1	193
195	1	2843
4197	1	196
330	4	191
7	1	1662
439	1	7
7	2	1543
200	2	1063
198	1	60
202	1	5510
256	1	203
4499	1	204
142	1	808
472	1	205
206	1	2125
4616	2	7
1899	3	75
3788	3	60
142	2	3571
3757	2	142
3527	2	206
3854	1	209
7	3	35
7	1	2398
200	-1	1490
149	-1	1334
1618	1	211
13	1	2296
104	1	4004
224	1	104
167	1	5110
206	2	4478
687	1	212
1020	4	60
101	1	625
2392	2	213
213	2	757
530	1	29
143	1	4840
153	2	3887
2878	2	110
143	1	5327
13	1	143
7	1	3451
4136	4	149
215	1	216
3148	1	112
219	1	4598
219	1	3394
1	7	2716
60	7	546
60	7	2642
202	1	3988
4038	4	224
1	1	2977
225	1	4762
29	1	5187
227	1	1565
1953	2	214
1352	1	199
60	1	4107
7	3	2028
2411	2	1
4981	1	171
2142	1	233
233	1	2958
232	2	2725
60	3	1334
208	3	3909
4669	1	234
234	1	3172
222	2	3901
202	3	4392
202	1	1457
3427	1	202
202	1	104
1810	1	149
57	2	135
135	2	2625
2299	5	7
2149	5	60
4344	8	62
2	2	630
2658	5	2
7	5	1396
1105	6	62
405	2	206
62	1	546
231	1	1543
2784	6	242
5844	1	2
204	1	3880
244	2	1771
540	1	56
56	1	5524
3903	1	114
241	3	4532
35	1	5757
1771	1	247
80	3	4611
3272	1	64
35	2	1281
248	2	1018
372	1	250
2625	1	251
4	3	250
5064	2	175
1957	1	166
215	1	1888
249	1	3791
4031	1	60
253	1	5028
1298	4	143
60	2	500
1790	4	60
402	3	104
104	3	477
60	1	1
5060	1	60
2045	2	251
1810	5	60
1	2	4402
35	1	256
256	1	2110
29	10	257
259	2	4601
7	4	3029
4281	1	261
261	1	2072
202	1	1376
240	2	2045
215	1	262
262	1	1873
266	1	51
35	1	625
132	1	141
141	1	1953
4197	3	268
295	5	60
13	1	41
242	1	3005
141	1	159
1	2	221
784	3	6
1771	1	269
269	1	1317
2072	1	141
221	1	2851
171	2	1379
1566	1	171
64	3	1876
149	10	2303
1	1	2233
271	1	1741
272	1	3976
202	4	1317
2318	2	261
60	2	3598
23	1	2885
4302	2	202
1383	1	153
4172	1	7
1	1	2125
141	2	4567
141	1	1005
141	1	4172
256	1	4758
2028	1	141
2178	5	64
3656	3	278
2045	1	206
894	1	281
242	1	1386
345	1	206
4611	10	284
2319	1	286
41	1	202
256	1	1201
287	1	2249
2647	1	202
257	5	515
1277	5	60
134	1	2503
37	2	2343
4655	2	37
215	1	5367
33	1	291
3110	1	202
217	1	1948
4107	1	217
224	1	113
2642	1	293
21	5	3161
3830	1	293
231	1	3630
274	2	2962
295	2	4893
2552	1	292
249	1	1034
1	1	3988
4116	1	297
2194	2	4
3887	1	299
299	1	898
3018	5	29
271	1	1921
202	1	3219
3590	2	272
37	1	273
2404	2	299
299	3	3562
2581	1	302
135	1	1701
301	1	2736
214	3	1048
29	1	585
1771	1	29
3237	1	7
17	1	5508
2404	1	21
305	1	4499
282	1	4197
3995	2	229
144	1	687
282	1	557
2144	1	206
235	1	7
1802	2	60
274	2	5231
4302	3	206
1810	3	202
204	1	403
2942	2	204
1566	2	266
1890	7	223
167	1	2558
2034	1	171
546	5	274
28	1	3669
2303	1	1
4694	1	312
312	2	675
5013	1	93
312	1	1840
257	4	17
2090	2	233
5457	1	315
64	1	978
2396	1	64
3794	3	110
257	4	2559
3897	1	312
313	10	3925
3142	1	319
240	4	2388
108	1	4570
7	1	5403
1473	1	202
314	4	777
249	1	35
7	1	2173
5013	2	7
7	1	2205
228	1	950
846	1	215
304	1	2344
5437	1	325
62	2	1677
7	1	4515
2243	1	7
62	1	2028
2405	1	62
57	8	5227
1376	2	321
327	1	2306
1565	1	329
329	1	51
313	1	171
321	3	1482
537	3	321
2303	1	28
321	1	3841
202	2	3385
289	2	4535
1562	4	39
499	3	21
257	6	56
257	3	4666
257	3	4654
251	1	1217
266	2	545
350	2	5296
1747	1	340
943	1	21
1981	1	204
346	1	5186
202	2	280
352	1	20
354	1	1543
4304	2	353
5432	1	355
356	1	5411
2004	5	7
2565	2	357
64	1	202
202	1	2063
2045	1	304
346	1	4747
5524	1	324
60	3	5610
339	3	5663
2336	1	202
468	2	1
3476	3	60
135	1	235
5731	2	7
2322	3	134
1998	1	324
144	1	550
368	1	2017
325	2	3394
358	3	3674
249	1	2647
4204	1	356
249	1	4747
2763	1	1
41	5	257
2658	2	257
4969	1	41
293	5	4197
3828	3	142
17	2	20
17	4	4172
2763	2	62
339	4	3249
1010	1	202
710	1	35
2296	1	346
346	1	1615
366	1	5960
378	1	4492
3075	1	379
379	1	540
3018	4	219
219	2	293
1334	2	141
285	1	4599
360	3	533
382	1	1386
2669	1	248
832	1	178
2992	1	385
385	1	2498
2557	1	386
3815	1	186
380	1	3690
134	1	4084
1757	1	134
2135	1	391
1802	1	390
962	2	125
125	2	4247
143	1	4036
351	1	2635
3378	1	7
393	1	3730
342	10	3890
550	2	233
396	1	2942
1257	2	347
35	1	249
3804	3	20
77	1	2125
346	1	4802
399	1	1267
57	1	1334
401	1	2642
402	1	3649
393	2	3724
1565	1	393
80	1	1690
1764	1	80
288	1	206
404	1	4042
288	1	7
401	2	2728
4579	2	401
235	1	5146
64	1	1568
1529	5	7
198	5	1810
293	2	2258
228	1	353
410	2	3044
2642	1	7
410	3	1396
4532	1	312
911	3	198
198	1	1585
3722	1	198
2642	4	177
2028	2	347
1396	1	392
1	1	1478
2266	1	1
239	1	2125
677	1	239
396	1	13
392	1	4635
399	1	5508
149	2	1566
4559	1	152
142	1	1
2524	1	404
219	1	1447
64	1	2111
333	4	4227
5261	3	401
2456	4	341
104	3	546
2848	1	104
6	3	202
758	1	7
7	1	4569
2775	1	428
2713	1	77
256	1	1832
7	1	2045
429	1	2103
256	1	2642
2242	3	350
394	1	3649
4694	4	339
366	-10	755
3988	1	432
4315	1	421
239	2	2772
4559	1	423
423	1	1562
45	1	423
270	4	5382
433	2	3224
215	1	2857
435	1	1585
286	1	2028
35	1	404
2388	1	433
2681	2	293
7	-1	4175
257	4	1447
3988	1	288
2733	2	181
2998	1	436
436	1	2835
1850	4	301
3851	1	394
5432	4	202
393	1	5759
1919	1	437
434	1	2107
885	2	297
439	1	21
257	6	3408
2642	1	442
320	2	1512
442	1	5138
440	1	4599
444	1	2642
180	1	1317
408	1	2220
325	1	1733
214	2	4833
5949	2	214
4230	1	203
365	1	2198
310	1	921
363	2	5960
3846	3	219
1043	1	436
1689	1	7
3578	1	202
257	4	28
397	8	2110
322	1	1162
2028	2	15
363	1	2897
1394	2	378
206	1	463
198	2	2274
285	1	484
451	10	4127
972	1	452
452	1	481
80	1	51
4828	1	454
35	1	4678
3161	1	457
1316	1	198
1566	1	198
225	1	198
1363	1	346
4452	1	459
460	3	1543
460	1	3756
4186	1	439
438	1	1765
2252	1	438
4291	1	465
2048	1	256
256	1	35
4	1	390
408	2	1268
144	2	5157
480	2	441
21	1	3314
7	2	4267
468	1	642
